Day,Slot(s),Class Name,Group Name,Block Name,Room Number,Course Details
Monday,1 & 2,23AML-3,A,D2,411,CC-II 23CSP-378
Monday,7 & 8,23AML-4,A,D2,307,CC-II 23CSP-378
Tuesday,3 & 4,23AML-3,B,D2,307,CC-II 23CSP-378
Tuesday,7 & 8,23AML-4,B,D2,307,CC-II 23CSP-378
Wednesday,1 & 2,23AML-4,B,D2,307,CC-II 23CSP-378
Wednesday,3 & 4,23AML-3,A,D2,411,CC-II 23CSP-378
Wednesday,6 & 7,23AML-2,B,D2,413,CC-II 23CSP-378
Thursday,3 & 4,23AML-2,A,D2,308,CC-II 23CSP-378
Thursday,7 & 8,23AML-2,B,D2,409,CC-II 23CSP-378
Friday,1 & 2,23AML-2,A,D2,413,CC-II 23CSP-378
Friday,3 & 4,23AML-4,A,D2,318,CC-II 23CSP-378
Friday,6 & 7,23AML-3,B,D2,409,CC-II 23CSP-378